date,gdp_billions,gdp_growth_yoy,unemployment_rate,inflation_yoy
1991-04-01,6126.862,2.7992150372447844,6.833333333333333,4.84660995101831
1991-07-01,6205.937,3.1723577733164143,6.866666666666667,3.8520020273694833
1991-10-01,6264.54,4.3267036186288355,7.1000000000000005,2.9653625716421717
1992-01-01,6363.102,5.433543136590169,7.366666666666667,2.893890675241151
1992-04-01,6470.763,5.613003850910947,7.6000000000000005,3.0735185640521134
1992-07-01,6566.641,5.812240762353849,7.633333333333333,3.0746705710102518
1992-10-01,6680.803,6.644749654404003,7.366666666666667,3.1219748305905126
1993-01-01,6729.459,5.757522038779195,7.133333333333333,3.173076923076956
1993-04-01,6808.939,5.2262152083146995,7.066666666666666,3.125
1993-07-01,6882.098,4.803932482375695,6.8,2.817234848484862
1993-10-01,7013.738,4.9834578268510565,6.633333333333333,2.7693029805210045
1994-01-01,7115.652,5.7388417107526735,6.566666666666666,2.5396085740913232
1994-04-01,7246.931,6.432602788775155,6.2,2.38260467268101
1994-07-01,7331.075,6.523839096740547,6.0,2.855169237854005
1994-10-01,7455.288,6.295501770952949,5.633333333333333,2.6033340945421424
1995-01-01,7522.289,5.714683629834627,5.466666666666666,2.8402635764598783
1995-04-01,7580.997,4.609758254908192,5.666666666666667,3.0953456845910443
1995-07-01,7683.125,4.802160665386723,5.666666666666667,2.6639802999776085
1995-10-01,7772.586,4.256012644984342,5.566666666666666,2.6263075895837984
1996-01-01,7868.468,4.602043340796924,5.533333333333334,2.783915156871397
1996-04-01,8032.84,5.96020549803673,5.5,2.827087442472065
1996-07-01,8131.408,5.8346441064020205,5.266666666666667,2.900130832969894
1996-10-01,8259.771,6.267991116470117,5.333333333333333,3.23140316634134
1997-01-01,8362.655,6.2805999846475835,5.233333333333333,2.9449699054170164
1997-04-01,8518.825,6.0499773430069625,5.0,2.3017902813299296
1997-07-01,8662.823,6.535338037397698,4.866666666666667,2.2250476795931284
1997-10-01,8765.907,6.127724364271092,4.666666666666667,1.8907563025210017
1998-01-01,8866.48,6.024701485353612,4.633333333333333,1.4825642096471192
1998-04-01,8969.699,5.292678274292517,4.3999999999999995,1.5833333333333366
1998-07-01,9121.097,5.290123092668519,4.533333333333333,1.5961857379767963
1998-10-01,9293.991,6.024293892235,4.433333333333334,1.525773195876301
1999-01-01,9411.682,6.1490241899829545,4.3,1.6872427983539051
1999-04-01,9526.21,6.204344203746404,4.266666666666667,2.112387202625099
1999-07-01,9686.626,6.200230081973701,4.233333333333333,2.346459906141618
1999-10-01,9900.169,6.5222572305051685,4.066666666666666,2.6198212835093493
2000-01-01,10002.179,6.274085758528591,4.033333333333333,3.2577903682719622
2000-04-01,10247.72,7.57394598691401,3.9333333333333336,3.2938341032335616
2000-07-01,10318.165,6.519700461233868,4.0,3.468899521531088
2000-10-01,10435.744,5.409756136486155,3.9,3.4434989115377013
2001-01-01,10470.231,4.679500336876585,4.233333333333333,3.4097589653145244
2001-04-01,10599.0,3.4278844464915137,4.3999999999999995,3.324907641454411
2001-07-01,10598.02,2.712255522178597,4.833333333333333,2.678227360308272
2001-10-01,10660.465,2.1533778521205527,5.5,1.87488042854409
2002-01-01,10783.5,2.991997024707471,5.7,1.231760469964005
2002-04-01,10887.46,2.721577507312012,5.833333333333333,1.3172751223184065
2002-07-01,10984.04,3.642378482018338,5.733333333333333,1.5762807280915725
2002-10-01,11061.433,3.7612618211307014,5.866666666666667,2.2535211267605604
2003-01-01,11174.129,3.6224695136087615,5.866666666666667,2.976413328341443
2003-04-01,11312.766,3.9063840418242624,6.133333333333333,2.0059435364041756
2003-07-01,11566.669,5.304323363716801,6.133333333333333,2.216885276186953
2003-10-01,11772.234,6.425939568589345,5.833333333333333,2.0018365472910915
2004-01-01,11923.447,6.705829152321385,5.7,1.8178512997636842
2004-04-01,12112.815,7.072090061793923,5.599999999999999,2.7858703568827137
2004-07-01,12305.307,6.38591802013182,5.433333333333334,2.674859931321172
2004-10-01,12527.214,6.413226240660852,5.433333333333334,3.3849477853799215
2005-01-01,12767.286,7.077139689554546,5.3,3.035172290662369
2005-04-01,12922.656,6.685819935332948,5.1000000000000005,2.9229406554472925
2005-07-01,13142.642,6.804665661734388,4.966666666666667,3.8197500440063203
2005-10-01,13324.204,6.362069012311911,4.966666666666667,3.6746778126088397
2006-01-01,13599.16,6.515668247738793,4.733333333333333,3.690868133772307
2006-04-01,13753.424,6.428771299027081,4.633333333333333,3.9242685025817625
2006-07-01,13870.188,5.5357667050506265,4.633333333333334,3.3401152933197675
2006-10-01,14039.56,5.368846048889675,4.433333333333334,1.9653955988577332
2007-01-01,14215.651,4.533302056891753,4.5,2.4316510695187254
2007-04-01,14402.082,4.716338273291076,4.5,2.6652865187148045
2007-07-01,14564.117,5.003025193313881,4.666666666666667,2.3489745693191066
2007-10-01,14715.058,4.811390100544477,4.8,4.031136738056018
2008-01-01,14706.538,3.453144706492872,5.0,4.137035423712487
2008-04-01,14865.701,3.2191109590960387,5.333333333333333,4.310421314646251
2008-07-01,14898.999,2.299363565947732,6.0,5.2525019356638225
2008-10-01,14608.209,-0.7261201416943086,6.866666666666667,1.59580280267122
2009-01-01,14430.902,-1.8742412388286112,8.266666666666667,-0.18423678813865862
2009-04-01,14381.236,-3.2589448691319634,9.299999999999999,-0.9421400435809635
2009-07-01,14448.882,-3.021122425741485,9.633333333333333,-1.6069560131773297
2009-10-01,14651.249,0.2946288624430249,9.933333333333334,1.4876563800569231
2010-01-01,14764.61,2.3124542041793372,9.833333333333334,2.352570028549783
2010-04-01,14980.193,4.16485064287937,9.633333333333333,1.7752735663624009
2010-07-01,15141.607,4.794315574035424,9.466666666666667,1.2028815910047896
2010-10-01,15309.474,4.492620390247959,9.5,1.2297839008431843
2011-01-01,15351.448,3.9746258113150246,9.033333333333333,2.148217664792762
2011-04-01,15557.539,3.854062494388444,9.066666666666666,3.3461064102642935
2011-07-01,15647.68,3.3422674356823556,9.0,3.7159511351278374
2011-10-01,15842.259,3.480099969469874,8.633333333333333,3.3447277107921947
2012-01-01,16068.805,4.6728947002263155,8.266666666666667,2.8293233613208235
2012-04-01,16207.115,4.17531333201222,8.2,1.88791830252113
2012-07-01,16319.541,4.29367804045071,8.033333333333333,1.6848597105433294
2012-10-01,16420.419,3.6494795344527597,7.8,1.903567831670916
2013-01-01,16648.189,3.605644601449809,7.733333333333333,1.740201875096714
2013-04-01,16728.687,3.2181668359853255,7.533333333333334,1.414723261424422
2013-07-01,16953.838,3.886733088877925,7.233333333333333,1.5049534243237517
2013-10-01,17192.019,4.6990274730504655,6.933333333333334,1.2073049150852722
2014-01-01,17197.738,3.3009536352572866,6.666666666666667,1.4299079635757383
2014-04-01,17518.508,4.721356792675957,6.2,2.0803436115121476
2014-07-01,17804.228,5.015914390594034,6.066666666666666,1.7909701385912413
2014-10-01,17912.079,4.188338786735879,5.7,1.1640056484950367
2015-01-01,18063.529,5.034330677673982,5.533333333333334,-0.11289316317305564
2015-04-01,18279.784,4.34555271487731,5.433333333333334,0.03701009123058263
2015-07-01,18401.626,3.355371544332053,5.1000000000000005,0.15861096099996086
2015-10-01,18435.137,2.920141207505833,5.033333333333333,0.40046998234049
2016-01-01,18525.933,2.5598763120982637,4.8999999999999995,0.9918350293528055
2016-04-01,18711.702,2.362817853865229,4.933333333333334,1.1100326356065615
2016-07-01,18892.639,2.6683131153736106,4.8999999999999995,1.1571475618899596
2016-10-01,19089.379,3.5488860212972817,4.766666666666667,1.8069798503457024
2017-01-01,19280.084,4.070785530747623,4.566666666666666,2.587130540144833
2017-04-01,19438.643,3.884953918141698,4.366666666666667,1.8905882402044716
2017-07-01,19692.595,4.234220534251465,4.333333333333333,1.9449393340740473
2017-10-01,20037.088,4.964587899899731,4.166666666666667,2.1077802435008675
2018-01-01,20328.553,5.438093526978416,4.033333333333333,2.248617938637043
2018-04-01,20580.912,5.876279532475603,3.9333333333333336,2.686793380304775
2018-07-01,20798.73,5.617009845579002,3.766666666666667,2.608916629635205
2018-10-01,20917.867,4.395743533192031,3.8333333333333335,2.213518669569847
2019-01-01,21104.133,3.8152248219536444,3.8666666666666667,1.6300227951842494
2019-04-01,21384.775,3.905866756536347,3.6333333333333333,1.8223837390979325
2019-07-01,21694.282,4.305801363833273,3.6,1.749399715783806
2019-10-01,21902.39,4.706612772707652,3.6,2.0485851427124224
2020-01-01,21706.513,2.854322421110589,3.8333333333333335,2.123903351544465
2020-04-01,19913.143,-6.8816810090356455,13.0,0.4225966448229368
2020-07-01,21647.64,-0.21499674430340843,8.799999999999999,1.230950657843355
2020-10-01,22024.502,0.5575281966945234,6.733333333333333,1.2259844066675019
2021-01-01,22600.185,4.117068457748152,6.233333333333333,1.8947523000069744
2021-04-01,23292.362,16.969792262326443,5.933333333333334,4.7972763850200995
2021-07-01,23828.973,10.076539521167206,5.066666666666666,5.2647143913337136
2021-10-01,24654.603,11.941704743199178,4.166666666666667,6.753759501704004
2022-01-01,25029.116,10.747394324426995,3.8000000000000003,8.023529382018735
2022-04-01,25544.273,9.66802336319519,3.6333333333333333,8.593342830339456
2022-07-01,25994.639,9.088373216923774,3.533333333333333,8.288687749642708
2022-10-01,26408.405,7.113487083933179,3.5666666666666664,7.090800570785438
2023-01-01,26813.601,7.129636540099926,3.5,5.749826209685915
2023-04-01,27063.012,5.945516633023762,3.5666666666666664,4.031565992739283
2023-07-01,27610.128,6.214700654238747,3.6999999999999997,3.561764052307481
2023-10-01,27956.998,5.8640156419897504,3.733333333333333,3.236150528915238
2024-01-01,28269.174,5.428487579866648,3.7,2.816041008887682
